Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
ACU,Acme United Corporation.,12.1701,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-6.29,Capital Goods,Industrial Machinery/Components,0.055221,0.055222,0.000,0.073301,0.073302,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.389
AQ,Acquity Group Limited,6.86,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.28,Miscellaneous,Business Services,0.080491,None,N/A,0.106626,None,N/A,N/A,N/A,N/A,2.033,1.950,N/A,N/A
ADK,Adcare Health Systems Inc,5.009,False,False,True,True,True,-0.070,-0.152,N/A,N/A,N/A,-14.58,-0.542,-9.17,Health Care,Hospital/Nursing Management,0.159104,0.159104,0.000,0.151352,0.151353,0.000,1.934,1.895,0.841,-0.048,-0.152,-0.013,-0.068
API,"Advanced Photonix, Inc.",0.72,False,False,False,True,True,-0.045,-0.142,N/A,N/A,N/A,-0.27,-0.019,-0.08,Technology,Semiconductors,0.024383,0.024383,0.000,0.029495,0.029495,0.000,0.199,0.239,2.848,-0.090,-0.142,-0.094,0.145
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.74,False,True,True,True,True,-27.433,-27.898,N/A,N/A,N/A,-3.29,-0.424,0.96,Consumer Durables,Major Pharmaceuticals,0.061856,0.061856,0.000,0.0,None,N/A,-0.187,3.032,0.465,-45.140,-21.938,-15.430,-27.224
ACY,AeroCentury Corp.,16.79,False,True,False,True,True,-0.024,-0.086,N/A,N/A,N/A,-84.99,-2.722,-57.76,Technology,Diversified Commercial Services,0.130826,0.130826,0.000,0.022744,0.049105,3.343,0.192,0.170,2.536,-0.086,-0.067,0.038,0.018
AIM,Aerosonic Corporation,3.75,False,False,False,True,True,-0.044,-0.124,N/A,N/A,N/A,-4.92,-0.143,-3.50,Capital Goods,Industrial Machinery/Components,0.023035,0.023035,0.000,0.029607,0.029607,0.000,0.169,0.816,2.134,0.073,-0.008,-0.124,-0.118
AA^,Alcoa Inc.,85.908,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Metal Fabrications,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXX,Alderon Iron Ore Corp.,1.74,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,Basic Industries,Precious Metals,0.101629,0.099808,0.079,0.0,None,N/A,N/A,N/A,N/A,-0.382,N/A,N/A,-0.265
AXU,Alexco Resource Corp,4.66,False,True,True,True,True,-0.110,-0.272,N/A,N/A,N/A,-3.32,-0.274,-0.58,Basic Industries,Precious Metals,0.215896,0.206892,0.185,0.08503,0.041753,3.089,1.766,4.156,2.201,0.250,-0.187,-0.231,-0.272
ANV,Allied Nevada Gold Corp.,23.87,False,False,True,True,True,-0.223,-0.630,N/A,N/A,N/A,-3.52,-0.556,2.04,Basic Industries,Precious Metals,0.657206,0.657206,0.000,0.152029,0.152029,0.000,1.003,1.296,1.662,0.089,0.094,-0.630,-0.446
AAU,"Almaden Minerals, Ltd.",2.77,False,True,True,True,True,-0.342,-0.638,N/A,N/A,N/A,-0.28,-0.077,0.49,Basic Industries,Precious Metals,0.053905,0.036576,1.684,0.0,0.000197,N/A,0.460,2.067,0.580,-0.638,-0.246,-0.215,-0.270
APP,American Apparel Inc,1.41,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.50,Finance,Business Services,0.324721,0.324721,0.000,0.6167,0.547336,0.518,N/A,N/A,N/A,N/A,-0.264,0.244,N/A
ADGE,American DG Energy Inc.,2.32,False,False,False,True,True,-0.206,-0.249,N/A,N/A,N/A,-0.89,-0.082,-0.07,Energy,Electric Utilities: Central,0.034503,0.034503,0.000,0.006022,0.006023,0.001,1.222,0.581,0.185,-0.228,-0.173,-0.176,-0.249
AMS,American Shared Hospital Services,2.23,False,False,False,True,True,0.001,-0.016,N/A,1081.9,0.001,-8.10,0.010,-8.19,Health Care,Medical Specialities,0.074535,0.074535,0.000,0.022221,0.022221,0.000,0.164,0.065,35.264,-0.016,-0.008,0.002,0.024
AQQ,"American Spectrum Realty, Inc.",2.8235,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-113.01,Consumer Services,Real Estate Investment Trusts,0.497484,0.496767,0.006,0.069835,0.06935,0.030,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXN,"Aoxing Pharmaceutical Company, Inc.",0.31,False,False,False,True,True,-0.189,-0.223,N/A,N/A,N/A,-1.59,-0.119,-0.41,Consumer Durables,Major Pharmaceuticals,0.045089,0.04509,0.000,0.008134,0.008134,0.000,-0.058,0.460,0.205,-0.144,-0.168,-0.223,-0.219
ATL,Atlatsa Resources Corporation,0.18,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.71,Basic Industries,Precious Metals,0.979113,0.877004,0.478,0.144406,0.141819,0.079,N/A,N/A,N/A,-0.170,-0.134,N/A,-0.862
AZC,Augusta Resource Corporation,2.79,False,True,True,True,True,-0.256,-0.340,N/A,N/A,N/A,-0.80,-0.065,-0.15,Basic Industries,Precious Metals,0.273332,0.226617,0.814,0.0,None,N/A,0.096,1.759,0.250,-0.261,-0.233,-0.188,-0.340
AZK,"Aurizon Mines, Ltd.",4.61,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.71,Basic Industries,Precious Metals,0.418381,0.410882,0.079,0.259999,0.255339,0.079,N/A,N/A,N/A,0.447,0.133,0.272,N/A
AWX,Avalon Holdings Corporation,3.95,False,False,False,True,True,-0.063,-0.097,N/A,N/A,N/A,-9.31,-0.717,-2.14,Public Utilities,Environmental Services,0.055402,0.053367,0.163,0.053986,0.053986,0.000,0.036,0.167,0.541,-0.036,-0.097,-0.032,-0.087
AVL,"Avalon Rare Metals, Inc.",1.23,False,True,True,True,True,-1.149,-2.718,N/A,N/A,N/A,-9.08,-0.938,0.30,Basic Industries,Precious Metals,0.124081,0.125735,0.058,0.0,0.00112,N/A,1.998,13.022,1.569,-3.854,-0.224,-0.250,-0.269
ASM,Avino Silver,1.66,False,True,True,True,True,-0.309,-0.795,N/A,N/A,N/A,-0.30,-0.037,0.08,Basic Industries,Precious Metals,0.026136,0.025668,0.078,0.0,None,N/A,-1.590,5.504,1.050,-0.795,-0.146,-0.124,-0.171
BONE,"Bacterin International Holdings, Inc.",1.3,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.40,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.023169,0.02317,0.000,0.030149,0.030149,0.000,N/A,N/A,N/A,-1.252,N/A,N/A,N/A
BKJ,"Bancorp of New Jersey, Inc",13.25,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.470174,0.469842,0.003,None,0.019865,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAA,BANRO CORPORATION,2.61,False,True,True,True,True,-0.155,-0.266,N/A,N/A,N/A,-3.48,-0.333,-0.15,Basic Industries,Precious Metals,0.436972,0.429141,0.079,0.0,None,N/A,2.049,7.952,0.620,-0.032,-0.266,-0.169,-0.153
BHB,"Bar Harbor Bankshares, Inc.",35.7,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.302935,1.167466,0.477,None,0.057699,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRN,"Barnwell Industries, Inc.",3.57,False,False,False,True,True,-0.075,-0.148,N/A,N/A,N/A,-27.00,-2.326,-3.74,Energy,Oil & Gas Production,0.06989,0.06989,0.000,0.034062,0.034062,0.000,0.228,0.093,0.664,-0.057,-0.035,-0.061,-0.148
BXE,Bellatrix Exploration Ltd,5.21,True,True,True,True,True,-0.059,-0.110,N/A,N/A,N/A,-5.79,-0.360,-2.19,Energy,Oil & Gas Production,0.580422,None,N/A,0.16762,None,N/A,-0.797,1.192,0.724,-0.006,-0.062,-0.110,-0.058
BTX,"BioTime, Inc.",4.6,True,True,True,True,True,-16.605,-17.672,N/A,N/A,N/A,-5.85,-0.620,0.35,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.045829,None,N/A,0.001587,0.004355,4.384,1.255,5.327,1.067,-15.618,-41.900,-6.117,-2.784
BMJ,Birks & Mayors Inc.,0.92,False,False,False,True,True,0.096,-0.055,N/A,20.1,0.050,-5.30,0.619,-11.49,Consumer Services,Consumer Specialties,0.185167,0.185269,0.002,0.302317,0.302483,0.002,-0.104,0.463,1.479,-0.055,0.006,0.221,0.211
BDR,"Blonder Tongue Laboratories, Inc.",1.2,False,False,False,True,True,-0.050,-0.176,N/A,N/A,N/A,-2.02,-0.140,-0.61,Technology,Radio And Television Broadcasting And Communications Equipment,0.025871,0.025871,0.000,0.026663,0.026663,0.000,0.048,0.054,2.171,-0.086,0.084,-0.176,-0.023
BVX,Bovie Medical Corporation,2.6698,False,False,True,True,True,-0.025,-0.213,N/A,N/A,N/A,-0.24,-0.017,-0.07,Health Care,Medical/Dental Instruments,0.02824,0.02824,0.000,0.025411,0.025411,0.000,0.692,1.190,6.727,0.055,-0.213,-0.103,0.162
BWL.A,"Bowl America, Inc.",12.98,True,True,False,True,True,-0.016,-0.044,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Services-Misc. Amusement & Recreation,0.039368,None,N/A,0.024666,None,N/A,0.045,0.012,2.367,-0.044,-0.027,-0.033,0.040
BRD,Brigus Gold Corp,0.9146,False,False,True,True,True,-0.056,-0.203,N/A,N/A,N/A,-1.62,-0.086,-0.76,Basic Industries,Precious Metals,0.380022,0.373211,0.079,0.071092,0.071855,0.046,2.052,1.336,1.808,0.023,-0.203,-0.048,0.002
CAK,CAMAC Energy Inc.,0.691,False,False,True,True,True,-2.082,-7.552,N/A,N/A,N/A,-28.55,-2.833,-0.23,Energy,Oil & Gas Production,0.23403,0.23403,0.000,0.03891,0.03891,0.000,7.106,12.140,5.470,-0.166,13.283,-10.866,-10.579
CDY,Cardero Resource Corporation,0.44,False,True,True,True,True,-2.762,-4.774,N/A,N/A,N/A,-15.26,-1.517,-0.09,Basic Industries,Precious Metals,0.121329,0.122154,0.029,0.0,None,N/A,1.137,7.949,2.012,-11.075,0.594,-0.288,-0.279
CXM,"Cardium Therapeutics, Inc.",0.1923,False,True,False,True,True,-6.740,-6.901,N/A,N/A,N/A,-0.68,-0.070,0.03,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.007503,0.007503,0.000,0.0,None,N/A,-0.569,0.923,0.161,-5.806,-5.834,-7.927,-7.393
ROX,"Castle Brands, Inc.",0.2599,False,False,False,True,True,-3.867,-4.345,N/A,N/A,N/A,-0.82,-0.070,-0.12,Consumer Non-Durables,Beverages (Production/Distribution),0.031354,0.031355,0.000,0.035494,0.035495,0.000,0.154,0.329,0.478,-2.725,-2.522,-3.693,-6.529
CVM,Cel-Sci Corporation,0.2751,False,False,False,True,True,-3.719,-4.154,N/A,N/A,N/A,-0.42,-0.040,-0.02,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.016067,0.016067,0.000,0.000254,0.000255,0.017,0.017,0.597,0.434,-3.098,-5.897,-3.802,-2.081
CQP,"Cheniere Energy Partners, LP",23.31,False,False,False,True,True,-0.044,-0.101,N/A,N/A,N/A,-10.57,-0.261,-7.96,Public Utilities,Oil/Gas Transmission,1.7373,1.7373,0.000,0.28149,0.28379,0.035,0.407,0.618,1.621,-0.091,-0.036,0.054,-0.101
LNG,"Cheniere Energy, Inc.",21.57,False,False,False,True,True,-0.139,-0.186,N/A,N/A,N/A,-25.71,-1.440,-11.31,Public Utilities,Oil/Gas Transmission,2.915325,2.915325,0.000,0.287969,0.290444,0.037,0.363,0.588,0.251,-0.119,-0.107,-0.144,-0.186
CVR,Chicago Rivet & Machine Co.,21.5,False,False,False,True,True,-0.075,-0.110,N/A,N/A,N/A,-24.11,-2.809,3.99,Technology,Industrial Machinery/Components,0.024858,0.024858,0.000,0.030915,0.030915,0.000,0.020,0.036,0.346,-0.053,-0.059,-0.110,-0.079
CNAM,"China Armco Metals, Inc.",0.402,False,False,True,True,True,-10.290,-12.202,N/A,N/A,N/A,-238.74,-23.646,-2.28,Consumer Durables,Steel/Iron Ore,0.095295,0.095295,0.000,0.106216,0.106216,0.000,6.860,7.710,1.912,0.321,-0.381,-1.314,-39.784
CHGS,"China GengSheng Minerals, Inc.",0.3,False,False,False,True,True,-0.059,-0.371,N/A,N/A,N/A,-3.59,-0.100,-2.59,Consumer Durables,Miscellaneous manufacturing industries,0.147969,0.14797,0.000,0.076935,0.076936,0.000,1.542,0.804,7.310,-0.191,-0.371,-0.248,0.575
CNR,China Metro-Rural Holdings Limited,1.216,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.70,Finance,Real Estate,0.409051,0.409052,0.000,0.117484,0.117693,0.008,N/A,N/A,N/A,-0.452,0.056,N/A,N/A
SHZ,"China Shen Zhou Mining & Resources, Inc.",0.3231,False,False,True,True,True,-0.139,-0.182,N/A,N/A,N/A,-2.49,-0.222,-0.28,Basic Industries,Precious Metals,0.085316,0.085316,0.000,0.030551,0.030551,0.000,0.434,1.259,0.262,-0.157,-0.182,-0.104,-0.114
CRC,"Chromcraft Revington, Inc.",0.75,False,False,False,True,True,-0.186,-0.252,N/A,N/A,N/A,-13.73,-1.220,-1.53,Consumer Durables,Home Furnishings,0.030822,0.030822,0.000,0.055266,0.055266,0.000,-0.493,0.915,0.391,-0.214,-0.083,-0.194,-0.252
MBA,CIBT Education Group Inc.,0.175,False,False,False,True,True,0.126,-0.553,N/A,28.0,0.036,-0.12,0.016,-0.28,Consumer Services,Other Consumer Services,0.044751,0.045348,0.058,0.057968,0.058741,0.058,0.453,0.653,4.685,0.781,-0.553,-0.145,0.422
CKX,"CKX Lands, Inc.",15.73,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.21,Energy,Oil & Gas Production,0.010994,0.010995,0.000,0.001984,0.001985,0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CGR,"Claude Resources, Inc.",0.55,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,Basic Industries,Precious Metals,0.207887,0.204161,0.079,0.069659,0.068411,0.079,N/A,N/A,N/A,N/A,-0.071,-0.088,-0.123
MOC,Command Security Corporation,2.084,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Diversified Commercial Services,None,0.033042,N/A,None,0.141558,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BTC,Community Bankers Trust Corporation.,3.04,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.153288,1.092496,0.235,None,0.051084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIX,CompX International Inc.,13.9,False,False,False,True,True,0.011,-0.025,N/A,118.1,0.008,-2.28,0.150,-3.77,Capital Goods,Industrial Machinery/Components,0.141526,0.141526,0.000,0.138835,0.138835,0.000,-0.052,0.270,2.412,0.032,0.008,-0.025,0.029
LODE,"Comstock Mining, Inc.",2.11,False,False,True,True,True,-1.729,-1.974,N/A,N/A,N/A,-5.48,-0.546,-0.02,Basic Industries,Precious Metals,0.026974,0.026974,0.000,0.000473,0.000473,0.000,1.736,2.043,0.244,-2.280,-1.796,-1.282,-1.559
CTO,Consolidated-Tomoka Land Co.,37.16,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.48,Finance,Real Estate,0.177218,0.170266,0.174,0.014432,0.005207,4.427,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEP,"Constellation Energy Partners, LLC",1.24,False,True,False,True,True,-0.013,-0.049,N/A,N/A,N/A,-8.11,-0.432,-3.80,Energy,Oil & Gas Production,0.334306,0.334306,0.000,0.061952,0.144639,3.682,0.164,0.295,2.346,0.013,-0.049,-0.028,0.012
CUO,Continental Materials Corporation,17.26,False,False,False,True,True,-0.083,-0.115,N/A,N/A,N/A,-69.12,-5.338,-15.74,Capital Goods,Building Materials,0.075871,0.075871,0.000,0.107206,0.107206,0.000,-0.060,0.088,0.383,-0.115,-0.076,-0.042,-0.098
CRMD,CorMedix Inc,0.91,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,Consumer Durables,Major Pharmaceuticals,0.002556,0.002556,0.000,0.0,None,N/A,N/A,N/A,N/A,N/A,-80.712,-43.916,N/A
CVU,"CPI Aerostructures, Inc.",11.47,False,False,False,True,True,-1.176,-2.624,N/A,N/A,N/A,-10.76,-0.669,-4.07,Capital Goods,Military/Government/Technical,0.08894,0.08894,0.000,0.074135,0.074136,0.000,0.857,0.544,1.448,-3.274,-1.453,0.849,-0.827
CXZ,Crosshair Energy Corp,0.1586,False,True,True,True,True,-0.419,-1.012,N/A,N/A,N/A,-0.69,-0.076,0.07,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.017997,0.018217,0.053,0.0,None,N/A,-0.914,2.536,0.948,-1.012,-0.192,-0.202,-0.270
CTP,CTPartners Executive Search Inc.,4.4,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.27,Technology,Diversified Commercial Services,0.05554,0.05554,0.000,0.126118,0.126119,0.000,N/A,N/A,N/A,-0.071,0.665,-0.037,N/A
QBC,Cubic Energy Inc,0.21,False,False,True,True,True,-0.174,-0.271,N/A,N/A,N/A,-1.41,-0.077,-0.64,Energy,Oil & Gas Production,0.030539,0.030539,0.000,0.006939,0.00694,0.001,0.099,2.189,0.392,-0.115,-0.271,-0.141,-0.169
DXR,Daxor Corporation,7.63,False,False,False,True,True,-0.872,-1.866,N/A,N/A,N/A,-11.60,-1.311,1.51,Health Care,Medical/Dental Instruments,0.085724,0.085725,0.000,0.001446,0.001446,0.000,0.584,0.727,0.993,-1.984,-0.486,-1.059,0.040
DEJ,Dejour Energy Inc.,0.234,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.07,Energy,Oil & Gas Production,0.029438,0.028911,0.078,0.007196,0.008666,0.807,N/A,N/A,N/A,N/A,N/A,-0.125,-0.229
DLA,"Delta Apparel, Inc.",15.72,False,False,False,True,True,0.028,-0.376,N/A,107.3,0.009,-18.51,0.352,-22.03,Consumer Non-Durables,Apparel,0.322723,0.320394,0.031,0.489923,0.489923,0.000,0.217,0.151,10.772,-0.376,-0.010,0.332,0.167
DNN,Denison Mine Corp,1.47,False,False,True,True,True,-0.120,-0.198,N/A,N/A,N/A,-1.34,-0.135,0.01,Basic Industries,Precious Metals,0.513692,0.504486,0.079,0.095772,0.0968,0.046,-0.570,1.602,0.498,-0.125,-0.055,-0.198,-0.102
DSS,"Document Security Systems, Inc.",2.38,False,False,True,True,True,-0.889,-1.201,N/A,N/A,N/A,-2.78,-0.248,-0.30,Technology,EDP Services,0.012822,0.012822,0.000,0.013383,0.013384,0.000,1.205,1.017,0.312,-0.657,-0.833,-0.777,-1.291
ESTE,"Earthstone Energy, Inc.",18.3,False,False,False,True,True,-0.001,-0.022,N/A,N/A,N/A,-1.97,-0.017,-1.80,Energy,Oil & Gas Production,0.028217,0.026206,0.321,0.011712,0.011712,0.000,0.311,0.029,49.888,0.051,-0.022,-0.017,-0.016
ECBE,ECB Bancorp Inc,14.94,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.921779,0.921277,0.002,None,0.045877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELMD,"Electromed, Inc.",1.38,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.51,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0.020921,0.020921,0.000,0.019524,0.019524,0.000,N/A,N/A,N/A,-0.323,-0.311,0.241,N/A
ETAK,Elephant Talk Communications Corp.,1.33,False,False,False,True,True,-0.907,-1.119,N/A,N/A,N/A,-1.84,-0.181,-0.03,Public Utilities,Telecommunications Equipment,0.044812,0.044812,0.000,0.032232,0.032233,0.000,1.266,0.845,0.283,-0.997,-1.119,-0.533,-0.979
ELLO,Ellomay Capital Ltd.,6.67,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.22,Capital Goods,Industrial Machinery/Components,0.126392,0.106074,0.761,0.006114,None,N/A,N/A,N/A,N/A,-0.286,-32.409,N/A,-0.493
EOX,"Emerald Oil, Inc.",6.02,False,False,True,True,True,-4.247,-5.744,N/A,N/A,N/A,-165.54,-16.505,-0.49,Energy,Oil & Gas Production,0.104839,0.104839,0.000,0.008426,0.008426,0.000,3.581,17.717,1.497,-0.104,-13.365,0.319,-3.838
EGI,Entree Gold Inc,0.52,False,True,True,True,True,-6.922,-7.552,N/A,N/A,N/A,-29.71,-2.974,0.03,Basic Industries,Precious Metals,0.075951,0.07459,0.079,0.0,None,N/A,3.936,7.006,0.630,-0.605,-8.915,-10.463,-7.706
ERB,"ERBA Diagnostics, Inc.",0.7779,False,False,False,True,True,-0.246,-0.315,N/A,N/A,N/A,-0.93,-0.086,-0.06,Consumer Durables,Major Pharmaceuticals,0.017206,0.017207,0.000,0.016759,0.01676,0.000,0.083,0.028,0.340,-0.310,-0.221,-0.315,-0.138
EVBN,"Evans Bancorp, Inc.",17.0,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.744215,0.740902,0.019,None,0.045147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVK,"Ever-Glory International Group, Inc.",2.122,False,False,False,True,True,-0.053,-0.405,N/A,N/A,N/A,-6.02,-0.087,-5.15,Consumer Non-Durables,Apparel,0.13522,0.13522,0.000,0.215779,0.215779,0.000,0.331,0.136,4.586,-0.030,-0.405,0.101,0.121
XRA,Exeter Resource Corporation,1.3399,True,True,True,True,True,-13.955,-15.252,N/A,N/A,N/A,-0.01,-0.080,0.79,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.07288,None,N/A,0.0,None,N/A,-2.202,4.701,1.297,-41.080,-5.371,-5.723,-3.645
