Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
AXK,Accelr8 Technology Corporation,3.30,-111.5%,10.33,N/A,N/A,0.32,-0.015,0.47,Capital Goods,Biotechnology: Laboratory Analytical Instruments,-248.6%,121.4%,-242.4%,-76.5%
ACU,Acme United Corporation.,10.84,24.5%,6.20,21.3,4.7%,1.75,0.804,-6.29,Capital Goods,Industrial Machinery/Components,18.5%,-17.3%,57.9%,38.9%
AQ,Acquity Group Limited,5.81,N/A,N/A,N/A,N/A,N/A,N/A,-0.28,Miscellaneous,Business Services,203.3%,195.0%,N/A,N/A
AE,"Adams Resources & Energy, Inc.",33.19,17.0%,2.01,12.3,8.1%,16.54,7.085,-54.30,Energy,Oil Refining/Marketing,38.4%,20.9%,10.7%,-2.2%
ADK,Adcare Health Systems Inc,4.50,-7.0%,N/A,N/A,N/A,-14.58,-0.542,-9.17,Health Care,Hospital/Nursing Management,-4.8%,-15.2%,-1.3%,-6.8%
API,"Advanced Photonix, Inc.",0.50,-4.5%,N/A,N/A,N/A,-0.27,-0.019,-0.08,Technology,Semiconductors,-9.0%,-14.2%,-9.4%,14.5%
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.61,-2743.3%,N/A,N/A,N/A,-3.29,-0.424,0.96,Consumer Durables,Major Pharmaceuticals,-4514.0%,-2193.8%,-1543.0%,-2722.4%
ACY,AeroCentury Corp.,13.76,-2.4%,N/A,N/A,N/A,-84.99,-2.722,-57.76,Technology,Diversified Commercial Services,-8.6%,-6.7%,3.8%,1.8%
AIM,Aerosonic Corporation,3.85,-4.4%,N/A,N/A,N/A,-4.92,-0.143,-3.50,Capital Goods,Industrial Machinery/Components,7.3%,-0.8%,-12.4%,-11.8%
AXX,Alderon Iron Ore Corp.,1.67,N/A,N/A,N/A,N/A,N/A,N/A,0.00,Basic Industries,Precious Metals,-38.2%,N/A,N/A,-26.5%
AXU,Alexco Resource Corp,3.96,-11.0%,N/A,N/A,N/A,-3.32,-0.274,-0.58,Basic Industries,Precious Metals,25.0%,-18.7%,-23.1%,-27.2%
ANV,Allied Nevada Gold Corp.,30.25,-22.3%,N/A,N/A,N/A,-3.52,-0.556,2.04,Basic Industries,Precious Metals,8.9%,9.4%,-63.0%,-44.6%
AAU,"Almaden Minerals, Ltd.",3.06,-34.2%,N/A,N/A,N/A,-0.28,-0.077,0.49,Basic Industries,Precious Metals,-63.8%,-24.6%,-21.5%,-27.0%
APT,"Alpha Pro Tech, Ltd.",1.38,42.8%,0.55,4.9,20.3%,2.51,0.223,0.28,Health Care,Industrial Specialties,30.6%,-38.0%,128.0%,50.8%
DIT,AMCON Distributing Company,63.25,59.0%,0.29,5.0,20.0%,216.10,30.582,-89.71,Consumer Non-Durables,Food Distributors,37.2%,69.2%,48.3%,81.4%
APP,American Apparel Inc,0.97,1.6%,N/A,115.4,0.9%,-2.20,0.030,-2.50,Finance,Business Services,-8.0%,-20.8%,19.4%,15.8%
ADGE,American DG Energy Inc.,1.90,-20.6%,N/A,N/A,N/A,-0.89,-0.082,-0.07,Energy,Electric Utilities: Central,-22.8%,-17.3%,-17.6%,-24.9%
ALN,American Lorain Corporation,1.24,21.5%,0.25,3.6,27.7%,5.04,0.595,-0.91,Consumer Non-Durables,Packaged Foods,-4.1%,49.1%,-23.6%,64.6%
AMS,American Shared Hospital Services,2.50,0.1%,N/A,1109.9,0.1%,-8.10,0.010,-8.19,Health Care,Medical Specialities,-1.6%,-0.8%,0.2%,2.4%
